subset,num_samples,threshold,accuracy,precision,recall,f1,tp,tn,fp,fn,pos_rate
ADM,12000,0.5,0.9728333333333333,0.9692358584187892,0.9766666666666667,0.9729370745475677,5860,5814,186,140,0.5038333333333334
DALLE2,2000,0.5,0.747,0.9442446043165468,0.525,0.6748071979434448,525,969,31,475,0.278
Glide,12000,0.5,0.9606666666666667,0.9651632446987546,0.9558333333333333,0.9604756322224083,5735,5793,207,265,0.49516666666666664
Midjourney,12000,0.5,0.7106666666666667,0.9281842818428184,0.45666666666666667,0.612153708668454,2740,5788,212,3260,0.246
VQDM,12000,0.5,0.9611666666666666,0.970578231292517,0.9511666666666667,0.9607744107744107,5707,5827,173,293,0.49
biggan,4000,0.5,0.55925,0.7883211678832117,0.162,0.2687681459975114,324,1913,87,1676,0.10275
cyclegan,2642,0.5,0.5704012112036336,0.6921487603305785,0.25359576078728235,0.37119113573407203,335,1172,149,986,0.18319454958364875
gaugan,10000,0.5,0.5036,0.5588235294117647,0.0342,0.06445533358462117,171,4865,135,4829,0.0306
progan,8000,0.5,0.565375,0.7316209034543845,0.2065,0.32209007603821405,826,3697,303,3174,0.141125
sd_xl,4000,0.5,0.6815,0.9134396355353075,0.401,0.5573314801945795,802,1924,76,1198,0.2195
stable_diffusion_v_1_4,12000,0.5,0.9673333333333334,0.9660904255319149,0.9686666666666667,0.9673768308921439,5812,5796,204,188,0.5013333333333333
stable_diffusion_v_1_5,16000,0.5,0.971125,0.9720691382765531,0.970125,0.9710960960960962,7761,7777,223,239,0.499
stargan,3998,0.5,0.73911955977989,0.9887525562372188,0.4837418709354677,0.6496472959355055,967,1988,11,1032,0.24462231115557778
stylegan,11982,0.5,0.4747120681021532,0.3759213759213759,0.07661492238357537,0.12728785357737105,459,5229,762,5532,0.10190285428142214
stylegan2,15976,0.5,0.4902979469203806,0.42973708068902994,0.05933900851276915,0.10427895721042789,474,7359,629,7514,0.06904106159238858
whichfaceisreal,2000,0.5,0.4885,0.1891891891891892,0.007,0.013500482160077144,7,970,30,993,0.0185
wukong,12000,0.5,0.9689166666666666,0.9718262619486836,0.9658333333333333,0.9688205299673994,5795,5832,168,205,0.4969166666666667
GLOBAL,152598,0.5,0.7668055937823562,0.9251138119700957,0.580610492929134,0.7134517051173651,44300,72713,3586,31999,0.3138048991467778
MEAN_SUBSETS,,,0.7254390658434935,,,,,,,,
