experiment,model_size,two_branch,channel_mode,fft_highpass_only,fft_low_cut_ratio,use_tta,num_samples,threshold,accuracy,precision,recall,f1,tp,tn,fp,fn,pos_rate,val_ratio,seed,checkpoint
arch_large_rgb_fft_grad_full,large,False,rgb_fft_grad,False,0.1,False,800,0.5,0.9025,0.9226804123711341,0.8817733990147784,0.9017632241813602,358,364,30,48,0.485,0.1,42,./weights/arch_large_rgb_fft_grad_full/best_model.pth
arch_large_rgb_fft_grad_hp01,large,False,rgb_fft_grad,True,0.1,False,800,0.5,0.915,0.9267676767676768,0.9039408866995073,0.915211970074813,367,365,29,39,0.495,0.1,42,./weights/arch_large_rgb_fft_grad_hp01/best_model.pth
arch_large_rgb_grad,large,False,rgb_grad,False,0.1,False,800,0.5,0.94375,0.9546599496221663,0.9334975369458128,0.9439601494396015,379,376,18,27,0.49625,0.1,42,./weights/arch_large_rgb_grad/best_model.pth
arch_small_rgb,small,False,rgb,False,0.1,False,800,0.5,0.93875,0.9451371571072319,0.9334975369458128,0.9392812887236679,379,372,22,27,0.50125,0.1,42,./weights/arch_small_rgb/best_model.pth
arch_small_rgb_fft,small,False,rgb_fft,False,0.1,False,800,0.5,0.915,0.9311224489795918,0.8990147783251231,0.9147869674185464,365,367,27,41,0.49,0.1,42,./weights/arch_small_rgb_fft/best_model.pth
arch_small_rgb_fft_grad_full,small,False,rgb_fft_grad,False,0.1,False,800,0.5,0.91375,0.9181141439205955,0.9113300492610837,0.9147095179233623,370,361,33,36,0.50375,0.1,42,./weights/arch_small_rgb_fft_grad_full/best_model.pth
arch_small_rgb_fft_grad_hp01,small,False,rgb_fft_grad,True,0.1,False,800,0.5,0.90875,0.9152119700748129,0.9039408866995073,0.909541511771995,367,360,34,39,0.50125,0.1,42,./weights/arch_small_rgb_fft_grad_hp01/best_model.pth
arch_small_rgb_grad,small,False,rgb_grad,False,0.1,False,800,0.5,0.945,0.9738219895287958,0.916256157635468,0.9441624365482234,372,384,10,34,0.4775,0.1,42,./weights/arch_small_rgb_grad/best_model.pth
arch_twobranch_large_rgb_grad,large,True,rgb_grad,False,0.1,False,800,0.5,0.9375,0.9635416666666666,0.9113300492610837,0.9367088607594936,370,380,14,36,0.48,0.1,42,./weights/arch_twobranch_large_rgb_grad/best_model.pth
arch_twobranch_small_rgb_grad,small,True,rgb_grad,False,0.1,False,800,0.5,0.935,0.9633507853403142,0.9064039408866995,0.9340101522842641,368,380,14,38,0.4775,0.1,42,./weights/arch_twobranch_small_rgb_grad/best_model.pth
extra_twobranch_large_lr3e4,large,True,rgb_grad,False,0.1,False,800,0.5,0.94875,0.9667519181585678,0.9310344827586207,0.9485570890840653,378,381,13,28,0.48875,0.1,42,./weights/extra_twobranch_large_lr3e4/best_model.pth
extra_twobranch_large_lr5e4,large,True,rgb_grad,False,0.1,False,800,0.5,0.94125,0.9711286089238845,0.9113300492610837,0.940279542566709,370,383,11,36,0.47625,0.1,42,./weights/extra_twobranch_large_lr5e4/best_model.pth
extra_twobranch_large_ls_only,large,True,rgb_grad,False,0.1,False,800,0.5,0.94,0.952020202020202,0.9285714285714286,0.9401496259351622,377,375,19,29,0.495,0.1,42,./weights/extra_twobranch_large_ls_only/best_model.pth
extra_twobranch_large_strong_ls_lr5e4,large,True,rgb_grad,False,0.1,False,800,0.5,0.82375,0.8388746803069054,0.8078817733990148,0.823086574654956,328,331,63,78,0.48875,0.1,42,./weights/extra_twobranch_large_strong_ls_lr5e4/best_model.pth
extra_twobranch_large_strong_ls_mixup_lr5e4,large,True,rgb_grad,False,0.1,False,800,0.5,0.80625,0.8009592326139089,0.8226600985221675,0.8116646415552854,334,311,83,72,0.52125,0.1,42,./weights/extra_twobranch_large_strong_ls_mixup_lr5e4/best_model.pth
extra_twobranch_small_lr3e4,small,True,rgb_grad,False,0.1,False,800,0.5,0.92375,0.9551451187335093,0.8916256157635468,0.9222929936305733,362,377,17,44,0.47375,0.1,42,./weights/extra_twobranch_small_lr3e4/best_model.pth
extra_twobranch_small_lr5e4,small,True,rgb_grad,False,0.1,False,800,0.5,0.94,0.9661458333333334,0.9137931034482759,0.9392405063291139,371,381,13,35,0.48,0.1,42,./weights/extra_twobranch_small_lr5e4/best_model.pth
extra_twobranch_small_ls_only,small,True,rgb_grad,False,0.1,False,800,0.5,0.93875,0.9709762532981531,0.9064039408866995,0.9375796178343949,368,383,11,38,0.47375,0.1,42,./weights/extra_twobranch_small_ls_only/best_model.pth
extra_twobranch_small_mixup_only,small,True,rgb_grad,False,0.1,False,800,0.5,0.96,0.9794871794871794,0.9408866995073891,0.9597989949748744,382,386,8,24,0.4875,0.1,42,./weights/extra_twobranch_small_mixup_only/best_model.pth
extra_twobranch_small_strong_ls_mixup_lr5e4,small,True,rgb_grad,False,0.1,False,800,0.5,0.82875,0.8106235565819861,0.8645320197044335,0.8367103694874851,351,312,82,55,0.54125,0.1,42,./weights/extra_twobranch_small_strong_ls_mixup_lr5e4/best_model.pth
reg_single_small_rgb_grad_ls,small,False,rgb_grad,False,0.1,False,800,0.5,0.945,0.9713541666666666,0.9187192118226601,0.9443037974683545,373,383,11,33,0.48,0.1,42,./weights/reg_single_small_rgb_grad_ls/best_model.pth
reg_single_small_rgb_grad_ls_mixup,small,False,rgb_grad,False,0.1,False,800,0.5,0.93375,0.9468354430379747,0.9211822660098522,0.933832709113608,374,373,21,32,0.49375,0.1,42,./weights/reg_single_small_rgb_grad_ls_mixup/best_model.pth
reg_twobranch_small_strong,small,True,rgb_grad,False,0.1,False,800,0.5,0.81625,0.8105515587529976,0.8325123152709359,0.8213851761846901,338,315,79,68,0.52125,0.1,42,./weights/reg_twobranch_small_strong/best_model.pth
reg_twobranch_small_strong_ls,small,True,rgb_grad,False,0.1,False,800,0.5,0.82625,0.836272040302267,0.8177339901477833,0.8268991282689911,332,329,65,74,0.49625,0.1,42,./weights/reg_twobranch_small_strong_ls/best_model.pth
reg_twobranch_small_strong_ls_mixup,small,True,rgb_grad,False,0.1,False,800,0.5,0.7925,0.7985074626865671,0.7906403940886699,0.7945544554455445,321,313,81,85,0.5025,0.1,42,./weights/reg_twobranch_small_strong_ls_mixup/best_model.pth
reg_twobranch_small_strong_mixup,small,True,rgb_grad,False,0.1,False,800,0.5,0.80125,0.8142493638676844,0.7881773399014779,0.8010012515644555,320,321,73,86,0.49125,0.1,42,./weights/reg_twobranch_small_strong_mixup/best_model.pth
